id,shop_id,product_category_id,name,price,description,sort_order,is_active
1,1,1,ヘアセット（女性・基本）,3300,基本的なヘアセット,1,true
2,1,1,ヘアセット（女性・フルセット）,5500,プロスタイリストによる本格ヘアセット,2,true
3,1,1,ヘアセット（女性・日本髪）,7700,伝統的な日本髪スタイル,3,true
4,1,1,ヘアセット（男性）,3300,男性向けヘアセット,4,true
5,1,1,ヘアメイクセット（女性）,7700,ヘアセットとメイクのセット,5,true
6,1,1,ヘアメイクセット（男性）,6600,男性向けヘア＆メイクセット,6,true
7,1,2,ナチュラルメイク,4400,自然な仕上がりのメイク,1,true
8,1,2,フルメイク,6600,ベースメイク＋ポイントメイク,2,true
9,1,2,ポイントメイク,3300,眉・リップ等のポイントメイク,3,true
10,1,2,ブライダルメイク,8800,華やかなブライダル向けメイク,4,true
11,1,3,着付け（七五三・3歳女児）,6600,三歳女の子の着付け,1,true
12,1,3,着付け（七五三・5歳男児）,7700,五歳男の子の着付け,2,true
13,1,3,着付け（七五三・7歳女児）,8800,七歳女の子の着付け,3,true
14,1,3,着付け（振袖）,11000,成人式振袖の着付け,4,true
15,1,3,着付け（訪問着）,9900,訪問着の着付け,5,true
16,1,3,着付け（袴）,8800,袴の着付け,6,true
17,1,3,着付け（お宮参り・産着）,5500,お宮参り用産着の着付け,7,true
18,1,4,フォトブック（10ページ）,11000,A4サイズ・10ページのフォトブック,1,true
19,1,4,フォトブック（20ページ）,16500,A4サイズ・20ページのフォトブック,2,true
20,1,4,フォトブック（30ページ）,22000,A4サイズ・30ページのフォトブック,3,true
21,1,4,プレミアムアルバム（20ページ）,33000,高級仕様・20ページアルバム,4,true
22,1,4,プレミアムアルバム（30ページ）,44000,高級仕様・30ページアルバム,5,true
23,1,4,コンパクトアルバム（6ページ）,6600,持ち運びに便利なコンパクトサイズ,6,true
24,1,4,ポケットアルバム,3300,L版写真用ポケットアルバム,7,true
25,1,5,六切台紙（1面）,5500,六切サイズ（203×254mm）1面台紙,1,true
26,1,5,六切台紙（2面）,8800,六切サイズ（203×254mm）2面台紙,2,true
27,1,5,四切台紙（1面）,7700,四切サイズ（254×305mm）1面台紙,3,true
28,1,5,四切台紙（2面）,11000,四切サイズ（254×305mm）2面台紙,4,true
29,1,5,A4プリント（1枚）,2200,A4サイズ写真プリント,5,true
30,1,5,六切プリント（1枚）,3300,六切サイズ写真プリント,6,true
31,1,5,四切プリント（1枚）,4400,四切サイズ写真プリント,7,true
32,1,5,L版プリント（1枚）,550,L版（89×127mm）写真プリント,8,true
33,1,5,2L版プリント（1枚）,1100,2L版（127×178mm）写真プリント,9,true
34,1,5,木製フォトフレーム（A4）,5500,ナチュラルウッド製フレーム,10,true
35,1,5,木製フォトフレーム（六切）,6600,ナチュラルウッド製フレーム,11,true
36,1,5,アクリルフォトフレーム（A4）,7700,透明アクリル製フレーム,12,true
37,1,5,高級額縁（四切）,16500,豪華な装飾入り額縁,13,true
38,1,6,全データ（50カット）,68200,全撮影データ（50カット以上）,1,true
39,1,6,セレクトデータ（10カット）,16500,厳選10カットのデータ,2,true
40,1,6,セレクトデータ（20カット）,27500,厳選20カットのデータ,3,true
41,1,6,セレクトデータ（30カット）,38500,厳選30カットのデータ,4,true
42,1,6,追加データ（1カット）,2200,データ1カット追加,5,true
43,1,6,USBメモリ納品,2200,データをUSBメモリで納品,6,true
44,1,6,オンライン納品,0,データをオンラインで納品（無料）,7,true
45,1,7,追加ポーズ（1ポーズ）,11000,衣装そのままで追加撮影,1,true
46,1,7,衣装替え撮影（1着）,16500,衣装を替えての追加撮影,2,true
47,1,7,ロケーション撮影（30分）,33000,スタジオ外での撮影（30分）,3,true
48,1,7,ロケーション撮影（60分）,55000,スタジオ外での撮影（60分）,4,true
49,1,8,肌レタッチ（基本）,2200,肌のトーン調整・小じわ軽減,1,true
50,1,8,肌レタッチ（プレミアム）,5500,本格的な美肌加工,2,true
51,1,8,スリム加工,3300,体型の微調整,3,true
52,1,8,背景合成・変更,5500,背景の合成・変更,4,true
53,1,8,色調補正,1100,写真全体の色調補正,5,true
54,1,9,七五三衣装レンタル（3歳女児）,16500,三歳女の子用着物レンタル（撮影当日）,1,true
55,1,9,七五三衣装レンタル（5歳男児）,16500,五歳男の子用袴レンタル（撮影当日）,2,true
56,1,9,七五三衣装レンタル（7歳女児）,22000,七歳女の子用着物レンタル（撮影当日）,3,true
57,1,9,振袖レンタル（成人式）,33000,成人式用振袖レンタル（撮影当日）,4,true
58,1,9,訪問着レンタル,27500,訪問着レンタル（撮影当日）,5,true
59,1,9,袴レンタル（卒業式）,22000,卒業式用袴レンタル（撮影当日）,6,true
60,1,9,産着レンタル（お宮参り）,11000,お宮参り用産着レンタル,7,true
61,1,9,ドレスレンタル,16500,洋装ドレスレンタル（撮影当日）,8,true
62,1,10,髪飾り（七五三用）,3300,七五三用髪飾りレンタル,1,true
63,1,10,髪飾り（成人式用）,5500,成人式用豪華髪飾りレンタル,2,true
64,1,10,扇子・懐剣セット,2200,七五三・成人式用小物セット,3,true
65,1,10,草履・バッグセット,4400,着物用草履・バッグセット,4,true
66,1,10,被布コート,3300,三歳用被布コートレンタル,5,true
67,1,10,撮影小物（季節の小物）,1100,季節に合わせた撮影小物,6,true
68,1,10,未就学児対応追加料金,1100,0歳～未就学児の撮影追加料金,7,true
